거래금액,지역코드,아파트,시도명,시군구,법정동,지번,건축년도,년,월,일,등기일자,매도자,전용면적,층
"245,000",11680,개포래미안포레스트,서울특별시,강남구,개포동,1282,2020,2021,1,17,,,74.66,7
"111,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,21,,,33.18,12
"235,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2021,1,30,,,73.26,1
"267,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2021,1,14,,,84.943,6
"310,000",11680,현대2,서울특별시,강남구,개포동,654,1986,2021,1,30,,,165.08,1
"145,000",11680,개포우성3차,서울특별시,강남구,개포동,652,1984,2021,1,25,,,104.43,6
"200,000",11680,우성8,서울특별시,강남구,개포동,179,1987,2021,1,11,,,79.61,2
"108,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,30,,,33.18,8
"235,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2021,1,30,,,73.26,1
"192,000",11680,개포현대200동,서울특별시,강남구,개포동,655-1,1986,2021,1,22,,,82.2,8
"133,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,26,,,39.53,15
"270,000",11680,개포자이,서울특별시,강남구,개포동,12-2,2004,2021,1,30,,,170.32,19
"108,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,20,,,33.18,11
"317,000",11680,현대1차101동~106동,서울특별시,강남구,개포동,653,1984,2021,1,16,,,177.19,4
"111,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,21,,,33.18,12
"109,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,31,,,33.18,6
"265,000",11680,현대2,서울특별시,강남구,개포동,654,1986,2021,1,9,,,131.83,8
"277,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2021,1,18,,,84.94,23
"125,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2021,1,11,,,39.53,4
"241,000",11680,"우성9차아파트901동,902동",서울특별시,강남구,개포동,651-1,1991,2021,1,11,,,84.9,15
"220,000",11680,개포우성3차,서울특별시,강남구,개포동,652,1984,2021,1,11,,,104.43,8
"150,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2021,1,14,,,51.12,13
"139,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,13,,,49.86,3
"274,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2021,1,22,,,84.6348,20
"145,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,15,,,49.86,4
"153,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,14,,,49.86,8
"239,500",11680,개포자이,서울특별시,강남구,개포동,12-2,2004,2021,1,13,,,134.3,8
"220,000",11680,개포우성3차,서울특별시,강남구,개포동,652,1984,2021,1,5,,,104.43,3
"181,000",11680,우성8,서울특별시,강남구,개포동,179,1987,2021,1,3,,,78.93,3
"160,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2021,1,15,,,60,13
"200,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2021,1,7,,,59.888,2
"124,500",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2021,1,9,,,39.53,1
"128,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2021,1,19,,,39.53,5
"298,000",11680,경남1,서울특별시,강남구,개포동,649,1984,2021,1,9,,,166.48,1
"224,000",11680,현대2,서울특별시,강남구,개포동,654,1986,2021,1,15,,,84.81,5
"200,000",11680,개포자이,서울특별시,강남구,개포동,12-2,2004,2021,1,21,,,134.3,13
"243,000",11680,현대아파트3,서울특별시,강남구,개포동,177,1986,2021,1,14,,,163.85,5
"220,000",11680,개포우성3차,서울특별시,강남구,개포동,652,1984,2021,1,5,,,104.43,3
"127,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2021,1,10,,,39.53,10
