거래금액,지역코드,아파트,시도명,시군구,법정동,지번,건축년도,년,월,일,등기일자,매도자,전용면적,층
"280,000",11680,개포주공6단지,서울특별시,강남구,개포동,185,1983,2022,1,15,,,83.21,8
"272,000",11680,현대2,서울특별시,강남구,개포동,654,1986,2022,1,15,,,84.81,8
"120,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,1,25,,,33.18,8
"300,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2022,1,15,,,84.943,7
"125,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,1,8,,,33.18,7
"275,000",11680,현대1차101동~106동,서울특별시,강남구,개포동,653,1984,2022,1,5,,,95.4,2
"120,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,1,11,,,33.18,5
"180,000",11680,그린빌리지,서울특별시,강남구,개포동,1167,1996,2022,2,11,,,197.91,4
"590,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2022,2,22,,,131.3226,8
"246,000",11680,개포자이,서울특별시,강남구,개포동,12-2,2004,2022,2,7,,,168.42,2
"265,000",11680,현대2,서울특별시,강남구,개포동,654,1986,2022,3,30,,,84.81,7
"157,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2022,3,26,,,51.12,2
"120,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,3,27,,,33.18,12
"118,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,3,18,,,33.18,7
"211,500",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2022,3,17,,,53.46,4
"270,000",11680,개포주공6단지,서울특별시,강남구,개포동,185,1983,2022,3,18,,,73.02,5
"265,000",11680,개포주공7단지,서울특별시,강남구,개포동,185,1983,2022,3,18,,,73.26,6
"343,000",11680,경남1,서울특별시,강남구,개포동,649,1984,2022,3,8,,,123.28,4
"220,000",11680,개포6차우성아파트1동~8동,서울특별시,강남구,개포동,658-1,1987,2022,4,21,,,79.97,2
"400,000",11680,경남2차,서울특별시,강남구,개포동,649,1984,2022,4,19,,,186.16,8
"240,000",11680,우성8,서울특별시,강남구,개포동,179,1987,2022,4,27,,,79.61,6
"291,500",11680,현대2,서울특별시,강남구,개포동,654,1986,2022,4,21,,,131.83,3
"110,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,4,18,,,33.18,9
"200,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2022,4,16,,,59.888,1
"220,000",11680,개포6차우성아파트1동~8동,서울특별시,강남구,개포동,658-1,1987,2022,4,12,,,79.97,4
"145,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2022,4,7,,,39.53,8
"305,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2022,4,8,,,76.1709,23
"369,000",11680,개포래미안포레스트,서울특별시,강남구,개포동,1282,2020,2022,4,1,,,102.32,13
"210,000",11680,개포래미안포레스트,서울특별시,강남구,개포동,1282,2020,2022,5,26,,,59.92,6
"234,500",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2022,5,11,,,59.8732,28
"227,000",11680,디에이치아너힐즈,서울특별시,강남구,개포동,1281,2019,2022,5,14,,,59.7479,3
"203,500",11680,개포래미안포레스트,서울특별시,강남구,개포동,1282,2020,2022,5,12,,,59.92,5
