거래금액,지역코드,아파트,시도명,시군구,법정동,지번,건축년도,년,월,일,등기일자,매도자,전용면적,층
"97,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2023,1,17,2023-05-10,,39.53,8
"85,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,28,2023-04-10,,33.18,9
"90,000",11680,개포자이르네,서울특별시,강남구,개포동,1283,2022,2023,1,17,2023-03-31,,50.8665,4
"171,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2023,1,14,2023-03-30,,59.967,19
"86,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,30,2023-04-28,,33.18,11
"174,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2023,1,28,2023-04-21,,59.967,6
"230,000",11680,개포주공6단지,서울특별시,강남구,개포동,185,1983,2023,1,13,2023-05-24,,83.21,10
"85,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,28,2023-05-03,,33.18,5
"177,000",11680,래미안블레스티지,서울특별시,강남구,개포동,1280,2019,2023,1,18,2023-04-10,,59.967,12
"370,000",11680,개포주공4단지,서울특별시,강남구,개포동,189,1982,2023,1,27,,,41.99,4
"85,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,28,,,33.18,9
"97,000",11680,삼익대청아파트,서울특별시,강남구,개포동,12,1992,2023,1,17,,,39.53,8
"81,700",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,18,2023-04-24,,33.18,15
"110,000",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,18,2023-02-28,,49.86,7
"85,800",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,16,2023-04-26,,33.18,12
"89,800",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,28,2023-05-19,,39.53,1
"84,500",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,18,2023-04-25,,33.18,11
"85,800",11680,성원대치2단지아파트,서울특별시,강남구,개포동,12,1992,2023,1,16,,,33.18,12
